days,Confirmed Cases, Shortness of Breath searches, Congestion searches, Loss of taste searches
2020-06-28, 73961, 47379.8, 63780.5, 61958.2
2020-06-29, 74602, 72892, 123916.4, 114804.9, 114804.
2020-06-30, 79399, 102048.8, 107515.7, 58313.6
2020-07-01, 84152, 87470.4, 54669, 58313.6
2020-07-02, 87495, 43735.2, 36446, 136672.5
2020-07-03, 91894, 91115, 100226.5, 182230
2020-07-04, 94616, 32801.4, 82003.5, 131205.6
2020-07-05, 98126, 34623.7, 125738.7, 0
2020-07-06, 101542, 29156.8, 83825.8, 116627.2
2020-07-07 ,105159, 58313.6, 71069.7, 0
2020-07-08, 108710, 105693.4, 61958.2, 58313.6
2020-07-09, 112783, 43735.2, 72892, 58313.6
2020-07-10, 116947, 61958.2, 61958.2, 80181.2
2020-07-11, 119991, 96581.9, 40090.6, 160362.4
2020-07-12, 122479, 82003.5, 0, 65602.8
2020-07-13, 123917, 58313.6, 36446, 58313.6
2020-07-14, 128126, 72892, 36446, 78358.9
2020-07-15, 131411, 120271.8, 92937.3, 0
2020-07-16, 134730, 45557.5, 61958.2, 60135.9
2020-07-17, 138575, 61958.2, 74714.3, 60135.9
2020-07-18, 141333, 32801.4, 54669, 100226.5
2020-07-19, 143644, 67425.1, 41912.9, 0
2020-07-20, 145320, 45557.5, 36446, 0
2020-07-21, 148730, 60135.9, 98404.2, 60135.9
2020-07-22, 150659, 45557.5, 72892, 60135.9
2020-07-23, 153029, 29156.8, 49202.1, 116627.2
2020-07-24, 156392, 60135.9, 49202.1, 60135.9
2020-07-25, 160055, 32801.4, 80181.2, 129383.3
2020-07-26, 162041, 34623.7, 0, 67425.1
2020-07-27, 163918, 29156.8, 36446, 58313.6
2020-07-28, 165994, 29156.8, 54669, 58313.6
2020-07-29, 168361, 45557.5, 54669, 58313.6
2020-07-30, 170905, 60135.9, 36446, 58313.6
2020-07-31, 174108, 60135.9, 36446, 0
2020-08-01, 177019, 32801.4, 40090.6, 63780.5
2020-08-02, 178473, 32801.4, 80181.2, 65602.8
2020-08-03, 179506, 43735.2, 52846.7, 0
2020-08-04, 180537, 41912.9, 51024.4, 56491.3
2020-08-05, 182230, 41912.9, 51024.4, 56491.3
