days,Confirmed Cases, Shortness of Breath searches, Congestion searches, Loss of Taste searches
2020-07-09,232710,191037.78,175955.85,321747.84
2020-07-10,244143,226228.95,186010.47,326775.15
2020-07-11,254503,201092.4,180983.16,402184.8
2020-07-12,269803,241310.88,145791.99,301638.6
2020-07-13,282427,180983.16,140764.68,321747.84
2020-07-14,291621,231256.26,186010.47,160873.92
2020-07-15,301802,266447.43,150819.3,160873.92
2020-07-16,315767,191037.78,175955.85,457485.21
2020-07-17,327233,221201.64,201092.4,140764.68
2020-07-18,337561,191037.78,110600.82,306665.91
2020-07-19,350039,155846.61,201092.4,135737.37
2020-07-20,360386,301638.6,196065.09,120655.44
2020-07-21,369826,170928.54,155846.61,165901.23
2020-07-22,379611,236283.57,110600.82,160873.92
2020-07-23,389860,191037.78,140764.68,135737.37
2020-07-24,402304,281529.36,211147.02,110600.82
2020-07-25,414503,155846.61,160873.92,241310.88
2020-07-26,423847,170928.54,95518.89,186010.47
2020-07-27,432739,95518.89,110600.82,221201.64
2020-07-28,441969,261420.12,155846.61,80436.96
2020-07-29,451415,206119.71,186010.47,165901.23
2020-07-30,461371,226228.95,120655.44,120655.44
2020-07-31,470378,186010.47,135737.37,165901.23
2020-08-01,480020,105573.51,261420.12,266447.43
2020-08-02,487124,216174.33,140764.68,85464.27
2020-08-03,491876,301638.6,175955.85,206119.71
2020-08-04,497322,191037.78,110600.82,130710.06
2020-08-05,502731,191037.78,110600.82,130710.06
