days,Confirmed Cases, Shortness of Breath searches, Congestion searches, Loss of Taste searches
2020-06-23,124726, 221162.94, 326936.52, 461557.44
2020-06-24,131310, 158660.37, 250010.28, 336552.3
2020-06-25,136783, 173084.04, 197123.49, 355783.86
2020-06-26,142582, 225970.83, 336552.3, 288473.4
2020-06-27,148639, 173084.04, 192315.6, 403862.76
2020-06-28,152866, 173084.04, 240394.5, 480789
2020-06-29,158756, 245202.39, 201931.38, 346168.08
2020-06-30,166703, 293281.29, 216355.05, 288473.4
2020-07-01,174826, 245202.39, 216355.05, 432710.1
2020-07-02,182260, 197123.49, 216355.05, 360591.75
2020-07-03,190049, 197123.49, 158660.37, 269241.84
2020-07-04,195707, 168276.15, 269241.84, 298089.18
2020-07-05,200137, 187507.71, 211547.16, 302897.07
2020-07-06,209350, 201931.38, 197123.49, 355783.86
2020-07-07,219164, 245202.39, 274049.73, 177891.93
2020-07-08, 229116, 317320.74, 120197.25, 235586.61
2020-07-09, 240025, 254818.17, 201931.38, 346168.08
2020-07-10, 249948, 197123.49, 221162.94, 149044.59
2020-07-11, 258280, 192315.6, 274049.73, 283665.51
2020-07-12, 264811, 187507.71, 259626.06, 350975.97
2020-07-13, 273732, 221162.94, 201931.38, 269241.84
2020-07-14, 284638, 211547.16, 187507.71, 254818.17
2020-07-15, 296478, 211547.16, 120197.25, 144236.7
2020-07-16, 311516, 225970.83, 235586.61, 182699.82
2020-07-17, 321254, 192315.6, 293281.29, 168276.15
2020-07-18,330059, 254818.17, 221162.94, 149044.59
2020-07-19,338036, 230778.72, 192315.6, 129813.03
2020-07-20,345672, 216355.05, 206739.27, 221162.94
2020-07-21,355594, 168276.15, 177891.93, 91349.91
2020-07-22,366561, 139428.81, 221162.94, 110581.47
2020-07-23,376104, 240394.5, 269241.84, 149044.59
2020-07-24,383662, 187507.71, 240394.5, 134620.92
2020-07-25,391609, 139428.81, 230778.72, 125005.14
2020-07-26,395738, 168276.15, 173084.04, 158660.37
2020-07-27,402295, 216355.05, 153852.48, 250010.28
2020-07-28,412849, 149044.59, 168276.15, 149044.59
2020-07-29,421891, 216355.05, 206739.27, 110581.47
2020-07-30,432134, 125005.14, 197123.49, 57694.68
2020-07-31,441767, 139428.81, 144236.7, 57694.68
2020-08-01,448224, 86542.02, 173084.04, 96157.8
2020-08-02,453291, 168276.15, 192315.6, 62502.57
2020-08-03,462007, 158660.37, 235586.61, 139428.81
2020-08-04,471427, 201931.38, 235586.61, 163468.26
2020-08-05,480789, 201931.38, 235586.61, 163468.26
